exception_type,classification,source_row,thesis_id,year,thesis_title,details,review_status,review_notes
co-advised-only association,expected non-EnviSAGE adviser,91,bsge-2023-090,2023,Site Suitability Analysis of Salt Farms in Pangasinan using Geospatial Data and Analytic Hierarchy Process,Main adviser 'Jeark A. Principe' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,92,bsge-2023-091,2023,GIS-based Suitability Analysis for Vertical Green Spaces in the City of Manila using Analytic Hierarchy Process (AHP),Main adviser 'Ma. Rosario Concepcion O. Ang' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,93,bsge-2023-092,2023,Spatiotemporal Analysis of Satellite-based Trace Gases Concentrations in Port Areas in the Philippines,Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,103,bsge-2024-102,2024,Potential Assessment of Agrivoltaic Systems in The Philippines Using RS and GIS: Case of Pangasinan Province,"Main adviser 'PRINCIPE, Jeark A.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,104,bsge-2024-103,2024,Onshore Wind Farms Suitability Analysis Using GIS-based AHP-PROMETHEE II,"Main adviser 'ANG, Ma. Rosario Concepcion O.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,107,bsge-2024-106,2024,"Assessing Fecal Coliform Presence in the Municipal Waters of Dapa, Surigao Del Norte: A Comparative Study of Empirical and Machine Learning Approaches Using Landsat 8 and 9","Main adviser 'SARMIENTO, Czar Jakiri S.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,109,bsge-2024-108,2024,"Modeling and Impact Assessment of Solar Farm Expansion Using Machine Learning, Remote Sensing, and GIS Techniques","Main adviser 'PRINCIPE, Jeark A.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,110,bsge-2024-109,2024,Potential Assessment of Agrivoltaic Systems In the Philippines Using RS And GIS: Case of Pangasinan Province,"Main adviser 'PRINCIPE, Jeark A.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,112,bsge-2025-111,2025,SOCIO-SPATIAL JUSTICE IN REBUILDING COMMUNITIES: A SOCIO-SPATIAL INEQUALITY ANALYSIS OF ORIGINAL SETTLEMENT AREA AND RELOCATION AREA,"Main adviser 'Vergara, Karl Adrian P.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,115,bsge-2025-114,2025,Spatial and Socioeconomic Drivers of Land Use Change in High-Density Residential Areas (R-3) in Quezon City: A Predictive Simulation Using the Cellular Automata-Markov Chain Model,"Main adviser 'Claridades, Alexis Richard C.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,116,bsge-2025-115,2025,Informal Settlement Detection Within Quezon City Through Various Convolutional Neural Network Models,"Main adviser 'Carcellar, Bienvenido, G' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
co-advised-only association,expected non-EnviSAGE adviser,122,bsge-2025-121,2025,"FLOATING PHOTOVOLTAIC POTENTIAL ASSESSMENT OF ANGAT RESERVOIR, PHILIPPINES USING REMOTE SENSING AND GEOGRAPHIC INFORMATION SYSTEM","Main adviser 'Ang, Ma. Rosario Concepcion O.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
missing abstract,manual review required,124,bsge-2026-123,2026,"Seagrass Aboveground Biomass–Based Carbon Stock Estimation in Bongao, Tawi-Tawi and Mansalay, Oriental Mindoro, through Remote Sensing",Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,124,bsge-2026-123,2026,"Seagrass Aboveground Biomass–Based Carbon Stock Estimation in Bongao, Tawi-Tawi and Mansalay, Oriental Mindoro, through Remote Sensing",Source keywords are blank; do not fabricate.,pending-review,
missing abstract,manual review required,125,bsge-2026-124,2026,Assessment of Carbon Stock Changes in Aquaculture-Converted Mangrove Ecosystems in Aklan Using Global Ecosystem Dynamics Investigation (GEDI) LiDAR,Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,125,bsge-2026-124,2026,Assessment of Carbon Stock Changes in Aquaculture-Converted Mangrove Ecosystems in Aklan Using Global Ecosystem Dynamics Investigation (GEDI) LiDAR,Source keywords are blank; do not fabricate.,pending-review,
missing abstract,manual review required,126,bsge-2026-125,2026,"Analysis and Classification of Dominant Algal Bloom Phytoplankton Groups Using XGBoost with GCOM-C/SGLI Products and In Situ Data in Bolinao and Anda, Pangasinan",Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,126,bsge-2026-125,2026,"Analysis and Classification of Dominant Algal Bloom Phytoplankton Groups Using XGBoost with GCOM-C/SGLI Products and In Situ Data in Bolinao and Anda, Pangasinan",Source keywords are blank; do not fabricate.,pending-review,
suspicious/combined co-adviser cell,ambiguous/manual review required,75,bsge-2023-074,2023,"Estimation and Mapping of Mangrove Aboveground Biomass in Zambales Province using Sentinel-2, Sentinel-1, and ALOS-2/PALSAR-2",Raw co-adviser cell parsed as ['Severino G. Salmo III Rosalie B. Reyes']; delimiters=['none'],pending-review,
suspicious/combined co-adviser cell,ambiguous/manual review required,83,bsge-2023-082,2023,Typhoon Karding (Noru) Storm Surge Analysis using the COAWST Modeling System,Raw co-adviser cell parsed as ['Ma. Rosario Concepcion O. Ang Dominic M. Bautista']; delimiters=['none'],pending-review,
suspicious/combined co-adviser cell,ambiguous/manual review required,118,bsge-2025-117,2025,Marine Litter Accumulations in Remote Sensing and Particle Tracking Models in Manila Bay Pasig River Outfall,"Raw co-adviser cell parsed as ['Herrera, Eugene, C']; delimiters=['none']",pending-review,
